1,A,P3,643.701,1090.74,2p,1
1,B,P9,2855.68,1156.88,2p,0
1,B,P2,3391.6,1203.4,2p,1
1,B,P11,2290.58,910.614,3p,1
1,A,P11,1051.24,1295.03,3p,0
1,A,P1,875.224,1019.23,2p,0
1,B,P11,2468.93,1007.31,1p,1
1,A,P4,1055.95,1087.07,2p,0
1,B,P4,2468.93,1007.31,2p,1
1,A,P1,1157.95,1086.17,2p,1
1,A,P4,1507.43,1014.51,3p,0
1,A,P10,1398.55,878.055,3p,1
1,B,P1,2554.47,1006.67,1p,1
1,A,P12,1433.76,1124.94,3p,0
1,B,P1,2639.7,1006.04,1p,0
1,B,P10,3016.64,1269.29,3p,0
1,B,P1,2554.47,1006.67,2p,0
1,B,P6,2963.93,1155.72,2p,1
1,B,P4,2554.47,1006.67,2p,0
2,B,P12,3277.07,1204.75,2p,1
2,B,P6,2843.59,1344.54,3p,0
2,B,P7,2255.82,874.043,3p,0
2,B,P2,2855.68,1156.88,2p,0
2,A,P7,1196.37,879.001,2p,0
2,B,P2,2638.82,1073.01,2p,1
2,B,P6,2407.21,890.859,3p,1
2,A,P2,717.861,1053.19,2p,1
2,B,P6,2793.01,951.52,2p,0
2,B,P10,2577.61,872.537,2p,1
2,A,P11,1526.77,985.521,3p,1
2,A,P12,875.224,1019.23,2p,1
2,B,P12,3142.11,1267.65,3p,0
2,A,P9,1532.42,877.428,3p,0
2,B,P5,2977.61,1003.51,2p,1
2,B,P8,2760.65,977.019,2p,1
2,B,P9,2381.51,1115.73,3p,0
2,A,P2,1271.93,1367.53,3p,0
2,B,P3,2385.06,873.438,3p,0
2,B,P6,2542.87,1073.87,2p,1
2,A,P2,1526.77,985.521,3p,0
2,A,P2,1402.09,1172.42,3p,0
2,B,P10,3016.64,1269.29,2p,1
2,B,P3,2563.73,952.978,2p,0
2,B,P8,2274.65,980.367,3p,1
2,A,P12,1328.45,1015.84,2p,1
2,B,P8,2385.06,873.438,3p,1
2,A,P5,1148.16,1017.19,2p,1
2,B,P9,2695.9,1211.6,3p,1
2,B,P8,2689.32,1112.73,2p,0
2,B,P4,2274.65,980.367,3p,1
2,A,P4,1365.47,1227.3,3p,1
2,B,P2,2760.65,977.019,2p,0
2,A,P1,1326.14,1125.99,3p,1
2,A,P11,1418.11,1015.17,3p,1
2,A,P12,842.197,990.238,2p,1
2,B,P9,2774.06,1036.45,2p,1
2,B,P10,3391.6,1203.4,2p,1
2,B,P5,2640.98,908.707,2p,1
2,B,P7,3659.21,1332.6,2p,0
2,A,P9,1015.13,989.046,2p,0
2,A,P10,1281.55,916.106,2p,1
2,B,P8,2640.98,908.707,2p,0
2,A,P12,1166.53,897.117,2p,1
2,A,P6,989.653,1231.73,3p,1
3,B,P4,2599.74,978.127,2p,1
3,A,P4,989.653,1231.73,2p,1
3,B,P1,2254.58,954.944,3p,0
3,B,P5,2607.93,889.846,2p,0
3,A,P12,780.865,1131.29,2p,1
3,B,P4,2689.32,1112.73,2p,1
3,B,P2,2254.58,954.944,3p,1
3,B,P11,2468.93,1007.31,2p,1
3,A,P3,1418.11,1015.17,3p,1
3,B,P11,3061.35,1002.88,2p,0
3,A,P5,1059.79,917.313,2p,1
3,A,P10,1532.42,877.428,3p,0
3,B,P6,2674.47,889.51,2p,0
3,A,P8,1051.24,1295.03,3p,0
3,A,P5,1532.42,877.428,3p,1
3,B,P7,2636.18,1274.28,3p,0
3,B,P1,3285.75,1152.28,2p,1
3,A,P3,1546.09,860.956,3p,0
3,B,P2,2710.44,908.329,2p,0
3,B,P1,2384.21,931.062,2p,1
3,A,P5,966.538,1018.55,2p,0
3,A,P4,1307.54,896.406,2p,1
3,B,P11,3193.67,1107.83,2p,1
3,B,P8,2705.12,871.941,2p,0
3,B,P8,3142.11,1267.65,3p,0
3,A,P6,1610.05,860.678,3p,0
3,B,P7,2674.47,889.51,2p,0
3,B,P1,2637.69,1159.21,3p,1
3,B,P10,2641.45,872.239,2p,0
3,B,P4,2501.43,909.467,2p,1
